Constraints(%),algorithm,NMI,RI,cost,runtime
2%,greedy,0.0072329,0.648611,441.67294,3.65E+08
2%,greedy,6.01E-04,0.653781,322.85135,2.47E+08
2%,greedy,0.123659596,0.5052046,272.136,2.48E+08
2%,greedy,0.049924433,0.6165335,311.31012,3.73E+08
2%,greedy,0.041211203,0.5058763,348.22693,2.51E+08
2%,greedy,0.13544546,0.6600536,311.31012,3.50E+08
2%,greedy,0.0982739,0.5144337,441.67294,3.54E+08
2%,greedy,0.08526114,0.5089713,419.3781,2.50E+08
2%,greedy,0.37453467,0.79983693,351.19937,3.58E+08
2%,greedy,0.007970196,0.50561297,273.77362,2.49E+08
2%,greedy,0.060245376,0.6275588,311.31012,3.50E+08
2%,greedy,0.099092826,0.5138286,441.67294,3.43E+08
2%,greedy,0.16472349,0.50966424,270.66953,2.51E+08
2%,greedy,0.0959549,0.65855646,317.3342,3.54E+08
2%,greedy,0.39211342,0.8052522,347.76572,3.76E+08
